name,ticker,figi
Быстроденьги 002P-06,ru000a108f63,TCS00A108F63
Краснодарский край выпуск 2,ru000a0zz8x4,BBG00L2L5GP6
Газпромбанк 005Р-04Р,ru000a1097s8,TCS00A1097S8
Делимобиль выпуск 1,ru000a1052t1,TCS00A1052T1
Пионер-Лизинг 02,ru000a1090h6,TCS00A1090H6
Синара - Транспортные Машины выпуск 2,ru000a103g00,BBG011YQCC65
Ритейл Бел Финанс 001P-02,ru000a102tr4,TCS00A102TR4
ДОМ.РФ ИА 006P,ru000a0zzv86,BBG00MMJ90B3
МКБ ЗО-2026-02,ru000a107vv1,BBG01LS40M22
О'КЕЙ выпуск 2,ru000a1009z8,BBG00NZHNQH2
ГТЛК выпуск 13,ru000a1003a4,BBG00N9Q06D4
Руссойл БО-01,ru000a1074e7,TCS00A1074E7
ХКФ Банк выпуск 4,ru000a103760,BBG011BV60Q0
РЖД БО 001Р-26R,ru000a106k43,TCS00A106K43
Солид-Лизинг БО-001-07,ru000a105p07,TCS00A105P07
Ростелеком 001P-01R,ru000a0jwtn2,TCS20A0JWTN2
МБЭС 002P-02,ru000a107ds5,BBG01KP65WH9
Легенда выпуск 4,ru000a102y66,TCS00A102Y66
Russia 2032 EUR,ru000a102cl3,TCS00A102CL3
Лизинг-Трейд выпуск 4,ru000a104xe0,TCS00A104XE0
МФК Лайм-Займ выпуск 2,ru000a105aj4,TCS00A105AJ4
Оренбургская область выпуск 3,ru000a0jvm81,BBG009LB6H99
Сегежа,ru000a104ua4,TCS00A104UA4
РЕСО-Лизинг БО-02П выпуск 1,ru000a104v26,TCS00A104V26
ГТЛК выпуск 19,ru000a101sd8,BBG00VDF2563
ИКС 5 ФИНАНС 003P-02,ru000a1075s4,TCS00A1075S4
ФосАгро БО-П01-USD,ru000a108lp2,TCS00A108LP2
ЕАБР 003Р-008,ru000a106jx4,BBG01HHNFTJ2
Ненецкий АО выпуск 1,ru000a0zyf61,BBG00J5KZDG4
АФК Система выпуск 13,ru000a101q26,BBG00V3L30M3
Биннофарм Групп 001P-03,ru000a107e81,TCS00A107E81
Газпром капитал ЗО31-1-Д,ru000a105jt4,TCS00A105JT4
Ульяновская область,ru000a101u61,BBG00VR72X38
Russia 2043,xs0971721963,TCS571721963
ТрансФин-М выпуск 7,ru000a103m36,BBG012C34FX0
ОФЗ 26221,su26221rmfs0,BBG00G6V7252
Банк ВТБ (ПАО) Б-1-346,ru000a107b35,BBG01KDTJJ04
ЧЗПСН-Профнастил БО-П2,ru000a101nj6,TCS00A101NJ6
Автодом выпуск 1,ru000a104cj3,TCS00A104CJ3
ОФЗ 26233,su26233rmfs5,BBG00RRT3V69
Тинькофф Банк TCS-perp1,ru000a107738,TCS00A107738
МГКЛ 001Р-05,ru000a107ub5,TCS00A107UB5
ЛАЗСИСТ-01,ru000a109jx8,TCS00A109JX8
Аполлакс Спэйс 001P-01,ru000a1089a3,TCS00A1089A3
ОФЗ 26247,su26247rmfs5,BBG01MVSHPP3
РусГидро БО-П10,ru000a106037,TCS00A106037
Балтийский лизинг БО-П06,ru000a1058m3,TCS00A1058M3
Славнефть,ru000a104wf9,TCS00A104WF9
ОФЗ 26238,su26238rmfs4,BBG011FJ4HS6
Красноярский край  выпуск 14,ru000a0zyfb8,BBG00J5KYZN8
Тинькофф Ипотечный Агент выпуск 1,ru000a103d37,TCS00A103D37
Айди Коллект выпуск 2,ru000a104jv3,TCS00A104JV3
НЛМК ЗО26-Д,ru000a107el8,TCS00A107EL8
Россельхозбанк БO-20-002P,ru000a108zn7,TCS00A108ZN7
Глоракс БО-01,ru000a1053w3,TCS00A1053W3
Republic of Turkey,try1028,BBG00KMWBXK3
ЭР-Телеком Холдинг выпуск 3,ru000a106jv8,BBG01HDYRTB7
Санкт-Петербург выпуск 2,ru000a0zykj1,BBG00JHB0ZL4
Белгородская область выпуск 14,ru000a101pa0,BBG00V1JP1Y1
Металлоинвест ЗО-28,ru000a105a04,TCS00A105A04
МСП Банк 001P-02,ru000a109kv0,TCS00A109KV0
Гидромашсервис БО выпуск 3,ru000a1026h0,BBG00XRFV045
Банк ВТБ (ПАО) СУБ-Т1-2,ru000a102ql3,BBG00Z6QJBH5
Сибэнергомаш-БКЗ выпуск 1,ru000a104k37,BBG015K977N7
РУСАЛ CNY выпуск 5,ru000a105104,TCS00A105104
Брусника. Строительство и девелопмент 002P-02,ru000a107uu5,TCS00A107UU5
Металлоинвест CNY 1Р-03,ru000a105m75,TCS00A105M75
РСХБ 08Т1,ru000a0jwv63,BBG00DYFTK31
ТГК-14 выпуск 001Р-01,ru000a1066j2,TCS00A1066J2
ОФЗ 26246,su26246rmfs7,BBG01N0CVG83
Фармфорвард БО-01,ru000a107bd1,TCS00A107BD1
ПАО НК Роснефть 002P-05,ru000a0zyvu5,BBG00K7QTXX0
ПКБ 001Р-05,ru000a108u72,TCS00A108U72
РСГ-Финанс выпуск 1,ru000a0juag0,BBG005K570Y9
РЕСО-Лизинг БО-П выпуск 5,ru000a100ns9,BBG012CQ0V68
Европлан БО 06,ru000a100dg5,BBG00PC4M4X3
Элемент Лизинг 001P-08,ru000a108c58,TCS00A108C58
НПО Химтэк выпуск 1,ru000a103h25,BBG0121GPL12
ГИДРОМАШСЕРВИС 001Р-02,ru000a1089g0,TCS00A1089G0
СФО ВТБ РКС Эталон 03,ru000a106zp6,TCS00A106ZP6
НОВАТЭК 001P-02,ru000a108g70,TCS00A108G70
ФПК Гарант-Инвест 002Р-08,ru000a107tr3,TCS00A107TR3
Трансмашхолдинг ПБО-06,ru000a1038d4,TCS00A1038D4
ФСК Россети 001P-07R,ru000a105ph6,TCS00A105PH6
Норильский Никель БО выпуск 6 CNY,ru000a105nl3,TCS00A105NL3
АФК Система выпуск 21,ru000a103c95,TCS00A103C95
Сергиевское БО-01,ru000a1084n7,TCS00A1084N7
Россети 001Р-13R,ru000a109528,TCS00A109528
КАМАЗ,ru000a104zc9,TCS00A104ZC9
Сегежа 002P выпуск 3,ru000a104fg2,TCS00A104FG2
Кыргызская Республика выпуск 01 RUB,kg000a3lsj06,TCS00A3LSJ06
Ростелеком 002P-13R,ru000a107910,BBG01KB9PDF0
Полюс CNY 01,ru000a1054w1,TCS00A1054W1
Russia 2028,xs0088543193,TCS188543193
Патриот Групп выпуск 1,ru000a105ax5,TCS00A105AX5
Урожай БО-04,ru000a108fe8,BBG01MY53RW3
Мегатакт-НН БО-01,ru000a107pm2,TCS00A107PM2
Синара - Транспортные Машины выпуск 3,ru000a105m91,TCS00A105M91
Авто Финанс Банк БO-001P-12,ru000a108rp9,TCS00A108RP9
